"","Date","hour","use..kW.","day"
"1",2010-01-01,0,1085.86666666667,5
"2",2010-01-01,1,651.233333333333,5
"3",2010-01-01,2,634.6,5
"4",2010-01-01,3,653,5
"5",2010-01-01,4,646.066666666667,5
"6",2010-01-01,5,628.4,5
"7",2010-01-01,6,611.066666666667,5
"8",2010-01-01,7,612.533333333333,5
"9",2010-01-01,8,660.1,5
"10",2010-01-01,9,606.066666666667,5
"11",2010-01-01,10,1471.86666666667,5
"12",2010-01-01,11,834.533333333333,5
"13",2010-01-01,12,606.333333333333,5
"14",2010-01-01,13,1252.26666666667,5
"15",2010-01-01,14,1956.53333333333,5
"16",2010-01-01,15,752.433333333333,5
"17",2010-01-01,16,2800.93333333333,5
"18",2010-01-01,17,1162.2,5
"19",2010-01-01,18,493.066666666667,5
"20",2010-01-01,19,407.066666666667,5
"21",2010-01-01,20,432.766666666667,5
"22",2010-01-01,21,454.666666666667,5
"23",2010-01-01,22,402.3,5
"24",2010-01-01,23,588.3,5
"25",2010-01-02,0,1183,6
"26",2010-01-02,1,304.2,6
"27",2010-01-02,2,318.366666666667,6
"28",2010-01-02,3,310.166666666667,6
"29",2010-01-02,4,332.933333333333,6
"30",2010-01-02,5,315.3,6
"31",2010-01-02,6,298.2,6
"32",2010-01-02,7,337.866666666667,6
"33",2010-01-02,8,462.9,6
"34",2010-01-02,9,1324.03333333333,6
"35",2010-01-02,10,1295.63333333333,6
"36",2010-01-02,11,391.033333333333,6
"37",2010-01-02,12,337,6
"38",2010-01-02,13,301.966666666667,6
"39",2010-01-02,14,364,6
"40",2010-01-02,15,348.333333333333,6
"41",2010-01-02,16,434.633333333333,6
"42",2010-01-02,17,2331.8,6
"43",2010-01-02,18,3525.96666666667,6
"44",2010-01-02,19,2067.06666666667,6
"45",2010-01-02,20,2214,6
"46",2010-01-02,21,1405.7,6
"47",2010-01-02,22,1063.83333333333,6
"48",2010-01-02,23,605.566666666667,6
"49",2010-01-03,0,401.666666666667,0
"50",2010-01-03,1,550.933333333333,0
"51",2010-01-03,2,713.833333333333,0
"52",2010-01-03,3,370.066666666667,0
